"tanggal,water_level"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-22,220"
"2019-03-22,220"
"2019-03-22,220"
"2019-03-22,220"
"2019-03-22,220"
"2019-03-22,220"
"2019-03-22,220"
"2019-03-24,220"
"2019-03-24,220"
"2019-03-24,220"
"2019-03-24,210"
"2019-03-24,210"
"2019-03-24,210"
"2019-03-24,210"
"2019-03-24,210"
"2019-03-24,210"
"2019-03-24,210"
"2019-03-26,220"
"2019-03-26,220"
"2019-03-26,220"
"2019-03-26,220"
"2019-03-26,220"
"2019-03-27,230"
"2019-03-27,230"
"2019-03-27,230"
"2019-03-27,230"
"2019-03-27,230"
"2019-03-28,230"
"2019-03-28,230"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-29,210"
"2019-03-30,210"
"2019-03-31,210"
"2019-03-31,210"
"2019-03-31,210"
"2019-03-31,210"
"2019-03-31,210"
"2019-03-31,210"
"2019-03-31,210"
"2019-03-31,210"
"2019-03-31,210"
"2019-04-01,210"
"2019-04-01,210"
"2019-04-01,210"
"2019-04-01,210"
"2019-04-01,210"
"2019-04-01,350"
"2019-04-01,270"
"2019-04-01,240"
"2019-04-01,220"
"2019-04-02,300"
"2019-04-02,350"
"2019-04-04,300"
"2019-04-04,340"
"2019-04-07,300"
"2019-04-07,230"
"2019-04-07,330"
